place_en,facility_en,rise,length,facility_lat_lng,detail_en,detail_th
Prince Mahidol Hall,Assistance,,,,Security Officer near the B entrance (B1 Floor Parking Space),เจ้าหน้าที่รักษาความปลอดภัยบริเวณที่จอดรถชั้น B1 ใกล้ทางเข้า B
Prince Mahidol Hall,Assistance,,,,Security Officer at the (shuttle bus) drop off area,เจ้าหน้าที่รักษาความปลอดภัยบริเวณจุด drop off/ จุดจอดรถ Shuttle Bus
Sireeruckhachati Nature Learning Park,Parking,,,,Near the park's main entrance,บริเวณทางเข้าหลักหน้าอุทยาน
Sireeruckhachati Nature Learning Park,Ramp,111.0,1422.0,"13.79149108292781, 100.32014431005224",At the connecting pathway from the main entrance to the Administration and Exhibition building (1B),ทางเชื่อมจากทางเข้าหลักสู่อาคารใบไม้สามใบ (1B)
Sireeruckhachati Nature Learning Park,Ramp,111.0,1422.0,"13.791465467428194, 100.32031047837498",At the connecting pathway from the main entrance to the Administration and Exhibition building (1B),ทางเชื่อมจากทางเข้าหลักสู่อาคารใบไม้สามใบ (1B)
Sireeruckhachati Nature Learning Park,Ramp,150.0,1412.0,"13.791231058688501, 100.32020326261059",At the pathway to the toilet within the Administration and Exhibition building (1B),ทางลงไปสู่ห้องน้ำในอาคารใบไม้สามใบ (1B) 
Sireeruckhachati Nature Learning Park,Ramp,140.0,1051.0,"13.79118392708901, 100.3200581123903",At the pathway to the park from the Administration and Exhibition building (1B),ทางเชื่อมไปสู่อุทยานจากอาคารใบไม้สามใบ (1B)
Sireeruckhachati Nature Learning Park,Ramp,,,"13.790689955900122, 100.31979656426657",At the Applied Thai Traditional Pavilion entrance,ทางเข้าบ้านหมอยา
Sireeruckhachati Nature Learning Park,Ramp,,,"13.79183320931559, 100.31894331807557",At the Research and Herbarium building entrance,ทางเข้าอาคารวิจัยและพิพิธภัณฑ์พืช
Sireeruckhachati Nature Learning Park,Toilet,,,,"At the Administration and Exhibition building (1B), near the men's toilet",บริเวณห้องน้ำชายภายในอาคารใบไม้สามใบ (1B) (อ้อมจากทางห้องประชุม)
Sireeruckhachati Nature Learning Park,Toilet,,,,At the Workshop building (5B),บริเวณอาคารใบไม้ใบเดียว (5B)
Sireeruckhachati Nature Learning Park,Assistance,,,,Security Officer near the park entrance,เจ้าหน้าที่รักษาความปลอดภัยบริเวณทางเข้าหลักหน้าอุทยาน
Sireeruckhachati Nature Learning Park,Assistance,,,,Information at the Administration and Exhibition building (1B),เจ้าหน้าที่ประชาสัมพันธ์ประจำอาคารใบไม้สามใบ (1B)
Parking 5,Parking,,,,Near the bicycle parking area,บริเวณที่จอดจักรยาน
Parking 5,Assistance,,,,Security Officer at the parking space,เจ้าหน้าที่รักษาความปลอดภัยประจำที่จอดรถ
Parking 4,Parking,,,,Near the parking space entrance,บริเวณทางเข้าที่จอดรถ
Parking 4,Assistance,,,,Security Officer at the parking space,เจ้าหน้าที่รักษาความปลอดภัยประจำที่จอดรถ
Ratchasuda College,Ramp,,,"13.78680364831775, 100.32463769320695",In front of the building entrance,บริเวณทางเข้าหน้าอาคาร
Ratchasuda College,Ramp,,,"13.78681600573136, 100.32485188058672",In front of the building entrance,บริเวณทางเข้าหน้าอาคาร
Ratchasuda College,Surface,,,,2 broken ramp surfaces at the building entrance,ทางขึ้นทางลาดบริเวณทางเข้าหน้าอาคาร (2 จุด) มีการชำรุด
Golden Jubilee Medical Center,Parking,,,,Near the Maha Chakri Sirindhorn Dental Hospital building entrance/ Bellinee's Bake & Brew,บริเวณทางเข้าหน้าโรงพยาบาลทันตกรรมมหาจักรีสิรินธร/ Bellinee's Bake & Brew
Golden Jubilee Medical Center,Parking,,,,Near the Maha Chakri Sirindhorn Dental Hospital building entrance/ Bellinee's Bake & Brew,บริเวณทางเข้าหน้าโรงพยาบาลทันตกรรมมหาจักรีสิรินธร/ Bellinee's Bake & Brew
Golden Jubilee Medical Center,Parking,,,,Near the Maha Chakri Sirindhorn Dental Hospital building entrance/ Bellinee's Bake & Brew,บริเวณทางเข้าหน้าโรงพยาบาลทันตกรรมมหาจักรีสิรินธร/ Bellinee's Bake & Brew
Golden Jubilee Medical Center,Parking,,,,Near the Maha Chakri Sirindhorn Dental Hospital building entrance/ Bellinee's Bake & Brew,บริเวณทางเข้าหน้าโรงพยาบาลทันตกรรมมหาจักรีสิรินธร/ Bellinee's Bake & Brew
Golden Jubilee Medical Center,Parking,,,,Near the Vacc. Thru,บริเวณจุดบริการวัคซีน Vacc. Thru
Golden Jubilee Medical Center,Parking,,,,Near the Vacc. Thru,บริเวณจุดบริการวัคซีน Vacc. Thru
Golden Jubilee Medical Center,Parking,,,,Near the Vacc. Thru,บริเวณจุดบริการวัคซีน Vacc. Thru
Golden Jubilee Medical Center,Assistance,,,,Security Officer near the Maha Chakri Sirindhorn Dental Hospital building entrance,เจ้าหน้าที่รักษาความปลอดภัยบริเวณทางเข้าหน้าโรงพยาบาลทันตกรรมมหาจักรีสิรินธร
Golden Jubilee Medical Center,Assistance,,,,Security Officer near the Vacc. Thru,เจ้าหน้าที่รักษาความปลอดภัยบริเวณจุดบริการวัคซีน Vacc. Thru
Golden Jubilee Medical Center,Assistance,,,,Hospital staffs,เจ้าหน้าที่โรงพยาบาล
Golden Jubilee Medical Center,Ramp,80.0,412.0,"13.786989009453457, 100.32251490536517",Near the Maha Chakri Sirindhorn Dental Hospital building entrance/ Bellinee's Bake & Brew,บริเวณทางเข้าหน้าโรงพยาบาลทันตกรรมมหาจักรีสิรินธร/ Bellinee's Bake & Brew
Golden Jubilee Medical Center,Ramp,,,"13.787170251310421, 100.32140579645812",Near the road opposite of Prince Mahidol Hall,ติดถนนบริเวณฝั่งตรงข้ามมหิดลสิทธาคาร
Golden Jubilee Medical Center,Surface,,,,Broken ramp surface at  the Maha Chakri Sirindhorn Dental Hospital building entrance/ Bellinee's Bake & Brew,ทางขึ้นทางลาดบริเวณทางเข้าหน้าโรงพยาบาลทันตกรรมมหาจักรีสิรินธร/ Bellinee's Bake & Brew มีการชำรุด
Golden Jubilee Medical Center,Elevator,,,,"Accessible elevator, reachable buttons",รองรับผู้ใช้วีลแชร์ในระดับที่เอื้อมถึงได้ง่าย
Golden Jubilee Medical Center,Toilet,,,,Accessible toilets,รองรับผู้ใช้วีลแชร์
Ratchasuda College,Toilet,,,,Accessible toilets,รองรับผู้ใช้วีลแชร์
Ratchasuda College,Assistance,,,,Security Officer near the building entrance,เจ้าหน้าที่รักษาความปลอดภัยบริเวณทางเข้าอาคาร
